Vardas         Pavardė            ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  Egzaminas
Vardas86       Pavardė86          5    3    4    6    3    6    8    6    8    0
Vardas87       Pavardė87          3    6    7    6    7    7    10   9    7    5
Vardas88       Pavardė88          0    7    0    4    4    4    4    9    8    7
Vardas89       Pavardė89          6    5    5    8    10   0    2    0    9    7
Vardas90       Pavardė90          0    0    5    3    1    4    7    6    9    5
Vardas91       Pavardė91          1    8    2    4    1    4    3    5    2    3
Vardas92       Pavardė92          8    4    3    7    7    8    0    8    9    6
Vardas93       Pavardė93          2    4    9    10   3    6    7    8    5    5
Vardas94       Pavardė94          6    0    10   1    7    6    8    10   0    7
Vardas95       Pavardė95          2    0    5    10   8    0    6    8    7    1
Vardas96       Pavardė96          7    0    9    0    1    2    1    1    5    10
Vardas97       Pavardė97          5    7    6    0    1    3    8    0    5    8
Vardas98       Pavardė98          4    9    1    10   6    6    3    5    7    1
Vardas99       Pavardė99          1    2    8    5    4    10   2    10   6    1
Vardas100      Pavardė100         2    5    7    2    9    3    9    4    3    10
